rom,title,year,manufacturer
a2corvus,Corvus Flat Cable interface,,
a2diskii,Apple Disk II controller,,
a2diskiing,Apple Disk II NG controller,,
a2dx1,Decillonix DX-1,,
a2eauxslot,Apple IIe AUX Bus,,
a2eauxslot_slot,Apple IIe AUX Slot,,
a2echoii,Street Electronics Echo II,,
a2echop,Street Electronics Echo Plus,,
a2eext80,Apple IIe Extended 80-Column Card,,
a2erwks3,Applied Engineering RamWorks III,,
a2estd80,Apple IIe Standard 80-Column Card,,
a2ezcgi,E-Z Color Graphics Interface,,
a2ezcgi3,E-Z Color Graphics Interface (TMS9938),,
a2ezcgi5,E-Z Color Graphics Interface (TMS9958),,
a2hsscsi,Apple II High-Speed SCSI Card,,
a2iwm_flop,Apple IWM floppy card,,
a2lang,Apple II Language Card,,
a2laser128,VTech Laser 128 Internal Device,,
a2mcms1,Mountain Computer Music System (card 1),,
a2mcms2,Mountain Computer Music System (card 2),,
a2memexp,Apple II Memory Expansion Card,,
a2midi,6850 MIDI card,,
a2mockbd,Sweet Micro Systems Mockingboard,,
a2mouse,Apple II Mouse Card,,
a2phasor,Applied Engineering Phasor,,
a2pic,Apple Parallel Interface Card,,
a2ram16k,Apple II 16K Language Card,,
a2ramfac,Applied Engineering RamFactor,,
a2sam,Don't Ask Software SAM,,
a2scsi,Apple II SCSI Card,,
a2softcard,Microsoft SoftCard,,
a2ssc,Apple Super Serial Card,,
a2swyft,IAI SwyftCard,,
a2themill,Stellation Two The Mill,,
a2thunpl,ThunderWare ThunderClock Plus,,
a2tmstho,Applied Engineering TimeMaster H.O.,,
a2ultrme,Videx UltraTerm (enhanced //e),,
a2ulttrm,Videx UltraTerm (original),,
a2video,Apple II video,,
a2vidtrm,Videx VideoTerm,,
a2vtc1,Unknown VideoTerm clone #1,,
a2vtc2,Unknown VideoTerm clone #2,,
a2vulcan,Applied Engineering Vulcan IDE controller,,
a2vulgld,Applied Engineering Vulcan Gold IDE controller,,
a2zipdrv,Zip Technologies ZipDrive,,
a3000,Amiga 3000 (PAL),1990,Commodore
a3000n,Amiga 3000 (NTSC),1990,Commodore
a3010,Archimedes 3010,1988,Acorn
a3020,Archimedes 3020,1988,Acorn
a310,Archimedes 310,1988,Acorn
a3fdc,Apple III floppy controller,,
a400,Atari 400 (NTSC),1979,Atari
a4000,Amiga 4000/040 (PAL),1992,Commodore
a400030,Amiga 4000/030 (PAL),1993,Commodore
a400030n,Amiga 4000/030 (NTSC),1993,Commodore
a4000n,Amiga 4000/040 (NTSC),1992,Commodore
a4000t,Amiga 4000T (PAL),1994,Commodore
a4000tn,Amiga 4000T (NTSC),1994,Commodore
a400pal,Atari 400 (PAL),1979,Atari
a500,Amiga 500 (PAL),1987,Commodore
a500n,Amiga 500 (NTSC),1987,Commodore
a500p,Amiga 500 Plus (PAL),1992,Commodore
a500pn,Amiga 500 Plus (NTSC),1992,Commodore
a5105,BIC A5105,1989,VEB Robotron
a5120,A5120,1982,VEB Robotron
a5130,A5130,1983,VEB Robotron
a51mxr3k,Area 51 / Maximum Force Duo (R3000),1998,Atari Games
a51site4,"Area 51: Site 4 (HD Rev 2.01, September 7, 1998)",1998,Atari Games
a51site4a,"Area 51: Site 4 (HD Rev 2.0, September 11, 1998)",1998,Atari Games
a5200,Atari 5200,1982,Atari
a5200_16k2c,Atari 5200 ROM Cart 16K in 2 Chips,,
a5200_bbsb,Atari 5200 ROM Cart BBSB,,
a5200_cart_slot,Atari 5200 Cartridge Slot,,
a590,CBM A590 HD Controller,,
a600,Amiga 600 (PAL),1992,Commodore
a600n,Amiga 600 (NTSC),1992,Commodore
a600xl,Atari 600XL,1983,Atari
a65xe,Atari 65XE,1986,Atari
a65xea,Atari 65XE (Arabic),1986,Atari
a6809,System 3 (6809 CPU),1980,Acorn
a7000,Archimedes A7000,1995,Acorn
a7000p,Archimedes A7000+,1997,Acorn
a7150,A7150,1986,VEB Robotron
a7800,Atari 7800 (NTSC),1986,Atari
a7800p,Atari 7800 (PAL),1986,Atari
a78_cart_slot,Atari 7800 Cartridge Slot,,
a78_highscore,Atari 7800 High Score Cart,,
a78_megacart,Atari 7800 MegaCart+,,
a78_p450_t0,Atari 7800 ROM Carts w/POKEY @ 0x0450,,
a78_p450_t1,Atari 7800 ROM Carts w/no Bankswitch + POKEY + POKEY @ 0x0450,,
a78_p450_t6,Atari 7800 ROM Carts w/SuperGame Bankswitch + RAM + POKEY @ 0x0450,,
a78_p450_ta,Atari 7800 ROM Carts w/SuperGame 9Banks + POKEY @ 0x0450,,
a78_rom,Atari 7800 ROM Carts w/no Bankswitch,,
a78_rom_abs,Atari 7800 ROM Carts w/Absolute Bankswitch,,
a78_rom_act,Atari 7800 ROM Carts w/Activision Bankswitch,,
a78_rom_pok,Atari 7800 ROM Carts w/no Bankswitch + POKEY,,
a78_rom_sg,Atari 7800 ROM Carts w/SuperGame Bankswitch,,
a78_rom_sg9,Atari 7800 ROM Carts w/SuperGame 9Banks,,
a78_rom_sgp,Atari 7800 ROM Carts w/SuperGame Bankswitch + POKEY,,
a78_rom_sgr,Atari 7800 ROM Carts w/SuperGame Bankswitch + RAM,,
a78_versaboard,Atari 7800 VersaBoard Cart,,
a78_versapokey,Atari 7800 VersaBoard + POKEY @ 0x0450 Cart,,
a78_xboard,Atari 7800 XBoarD expansion,,
a78_xm,Atari 7800 XM expansion module,,
a800,Atari 800 (NTSC),1979,Atari
a800_034m,Atari 800 ROM Carts OSS-034M,,
a800_043m,Atari 800 ROM Carts OSS-043M,,
a800_bbsb,Atari 800 ROM Cart BBSB,,
a800_cart_slot,Atari 8bit Cartridge Slot,,
a800_express,Atari 800 64K ROM Carts Express/Diamond,,
a800_m091,Atari 800 ROM Carts OSS-M091,,
a800_oss8k,Atari 800 ROM Carts OSS 8K,,
a800_rom,Atari 800 ROM Carts,,
a800_sitsa,Atari 800 64K ROM Cart SITSA MicroCalc,,
a800_sparta,Atari 800 SpartaDOS ROM Carts,,
a800_tlink2,Atari 800 64K ROM Cart Telelink II,,
a800_turbo,Atari 800 64K ROM Carts Turbosoft,,
a800_williams,Atari 800 64K ROM Carts Williams,,
a800_xegs,Atari XEGS 64K ROM Carts,,
a800pal,Atari 800 (PAL),1979,Atari
a800xe,Atari 800XE,1986,Atari
a800xl,Atari 800XL (NTSC),1983,Atari
a800xlp,Atari 800XL (PAL),1983,Atari
a8sio,Atari 8 biot SIO,,
a8sio_cass,Atari 8 bit cassette,,
a8sio_slot,Atari 8 bit SIO Slot,,
aadvent,African Adventure (Konami Endeavour),200?,Konami
aafb,All American Football (rev E),1989,Leland Corp.
aafbb,All American Football (rev B),1989,Leland Corp.
aafbc,All American Football (rev C),1989,Leland Corp.
aafbd2p,"All American Football (rev D, 2 Players)",1989,Leland Corp.
aakart,AAKART,,
aar_101,Aaron Spelling (1.01),1992,Data East
aavenger,Airborne Avenger,1977,Atari
abacus,Abacus (Ver 1.0),200?,<unknown>
abaseb,Atari Baseball (set 1),1979,Atari
abaseb2,Atari Baseball (set 2),1979,Atari
abattle,Astro Battle (set 1),1979,bootleg? (Sidam)
abattle2,Astro Battle (set 2),1979,bootleg? (Sidam)
abc110,ABC 110,1985,Acorn
abc1600,ABC 1600,1985,Luxor
abc1600mac,ABC 1600 MAC,,
abc1600mover,ABC 1600 Mover,,
abc310,ABC 310,1985,Acorn
abc55,Luxor ABC 55,,
abc77,Luxor ABC 77,,
abc80,ABC 80,1978,Luxor Datorer AB
abc800c,ABC 800 C/HR,1981,Luxor Datorer AB
abc800kb,ABC-800 Keyboard,,
abc800m,ABC 800 M/HR,1981,Luxor Datorer AB
abc802,ABC 802,1983,Luxor Datorer AB
abc806,ABC 806,1983,Luxor Datorer AB
abc80_16kb,ABC 80 16KB RAM card,,
abc80kb,ABC-80 Keyboard,,
abc830,ABC 830,,
abc832,ABC 832,,
abc834,ABC 834,,
abc838,ABC 838,,
abc850,ABC 850,,
abc852,ABC 852,,
abc856,ABC 856,,
abc890,ABC 890,,
abc894,ABC 894,,
abc99,Luxor ABC 99,,
abc_fd2,ABC FD2,,
abc_hdc,ABC HDC,,
abc_keyboard_port,Luxor ABC keyboard port,,
